,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
F122,1.62E-21,0.347558118,0.773,0.356,3.25E-18,IFE spinous 3,F12
KRT6A1,2.25E-21,0.53101962,0.926,0.573,4.50E-18,IFE spinous 3,KRT6A
HMGCS11,2.58E-20,0.366277462,0.915,0.519,5.16E-17,IFE spinous 3,HMGCS1
GJB51,4.99E-20,0.278685312,0.852,0.439,9.97E-17,IFE spinous 3,GJB5
BDH1,9.09E-20,0.25863933,0.727,0.312,1.82E-16,IFE spinous 3,BDH1
DSC1,3.75E-19,0.405150907,0.722,0.328,7.49E-16,IFE spinous 3,DSC1
CENPP1,5.64E-19,0.270832275,0.71,0.27,1.13E-15,IFE spinous 3,CENPP
CKMT1A1,1.09E-18,0.299083993,0.818,0.365,2.18E-15,IFE spinous 3,CKMT1A
GSTA31,2.18E-18,0.250321217,0.619,0.149,4.36E-15,IFE spinous 3,GSTA3
KLF31,5.53E-18,0.311619973,0.812,0.437,1.11E-14,IFE spinous 3,KLF3
TMEM45B,3.52E-17,0.367580755,0.648,0.184,7.04E-14,IFE spinous 3,TMEM45B
UCHL3,4.53E-17,0.263908408,0.903,0.516,9.05E-14,IFE spinous 3,UCHL3
DEGS21,1.14E-16,0.392398802,0.631,0.224,2.29E-13,IFE spinous 3,DEGS2
CARD181,1.50E-16,0.298168686,0.881,0.474,3.01E-13,IFE spinous 3,CARD18
C19orf331,2.12E-16,0.321314343,0.773,0.324,4.23E-13,IFE spinous 3,C19orf33
CASP141,3.20E-16,0.266333788,0.682,0.257,6.40E-13,IFE spinous 3,CASP14
NOL3,2.22E-15,0.266735721,0.778,0.39,4.44E-12,IFE spinous 3,NOL3
MGST13,2.28E-15,0.297520884,0.818,0.544,4.56E-12,IFE spinous 3,MGST1
UBR4,8.28E-15,0.371392341,0.722,0.35,1.66E-11,IFE spinous 3,UBR4
LY6G6C,2.64E-14,0.337804259,0.75,0.306,5.29E-11,IFE spinous 3,LY6G6C
CA22,6.78E-13,0.30531487,0.778,0.426,1.36E-09,IFE spinous 3,CA2
SCEL1,3.82E-12,0.392372447,0.631,0.261,7.64E-09,IFE spinous 3,SCEL
SPRR1A,1.85E-10,0.369639399,0.517,0.246,3.71E-07,IFE spinous 3,SPRR1A
IVL,2.18E-10,0.252263651,0.58,0.295,4.35E-07,IFE spinous 3,IVL
PYDC1,2.91E-10,0.356758796,0.511,0.186,5.81E-07,IFE spinous 3,PYDC1
CNFN,0.000782126,0.280500448,0.352,0.228,1,IFE spinous 3,CNFN
CALML34,1.79E-127,1.759530452,1,0.817,3.58E-124,IFE granular,CALML3
KRT6B2,4.46E-102,2.373065333,1,0.615,8.93E-99,IFE granular,KRT6B
KRT6A2,5.82E-77,2.115083858,1,0.574,1.16E-73,IFE granular,KRT6A
LYPD34,7.25E-73,1.22587654,1,0.633,1.45E-69,IFE granular,LYPD3
FABP55,4.21E-69,0.825914733,1,0.84,8.43E-66,IFE granular,FABP5
TACSTD25,1.04E-65,0.897926867,1,0.785,2.08E-62,IFE granular,TACSTD2
SBSN2,1.22E-64,2.027028648,1,0.452,2.44E-61,IFE granular,SBSN
PKP14,6.45E-62,0.809804077,1,0.616,1.29E-58,IFE granular,PKP1
S100A164,3.09E-61,0.815132773,1,0.855,6.18E-58,IFE granular,S100A16
S100A114,6.73E-60,0.728281307,1,0.898,1.35E-56,IFE granular,S100A11
GSTP15,7.85E-60,0.61479955,1,0.94,1.57E-56,IFE granular,GSTP1
ACTN11,6.29E-58,0.788930569,0.984,0.689,1.26E-54,IFE granular,ACTN1
CREG13,2.40E-57,1.152505959,0.984,0.696,4.80E-54,IFE granular,CREG1
DMKN4,1.77E-55,1.446218701,1,0.767,3.53E-52,IFE granular,DMKN
S100A144,2.17E-54,0.721106595,1,0.892,4.33E-51,IFE granular,S100A14
SDC12,2.87E-53,0.879695876,1,0.804,5.74E-50,IFE granular,SDC1
YWHAQ1,3.23E-53,0.739179457,1,0.881,6.45E-50,IFE granular,YWHAQ
DSP4,6.60E-49,0.81740652,0.992,0.823,1.32E-45,IFE granular,DSP
KRT161,8.54E-49,1.965691171,0.992,0.616,1.71E-45,IFE granular,KRT16
CRABP23,2.91E-47,0.804490663,0.984,0.544,5.82E-44,IFE granular,CRABP2
LGALS7B4,3.12E-47,0.78591199,0.992,0.789,6.24E-44,IFE granular,LGALS7B
HSPB12,5.32E-47,0.598278545,1,0.974,1.06E-43,IFE granular,HSPB1
TMSB4X2,1.13E-46,0.713658709,1,0.978,2.25E-43,IFE granular,TMSB4X
NDRG22,1.53E-45,0.940546014,0.984,0.623,3.07E-42,IFE granular,NDRG2
CTNNBIP12,2.76E-45,0.76216467,0.992,0.631,5.52E-42,IFE granular,CTNNBIP1
CALML52,1.06E-44,2.487227977,1,0.57,2.12E-41,IFE granular,CALML5
TUBA4A5,2.94E-44,0.776163546,0.992,0.65,5.87E-41,IFE granular,TUBA4A
IFFO21,7.03E-43,0.813639774,0.961,0.402,1.41E-39,IFE granular,IFFO2
GATM2,1.01E-42,0.743196399,0.992,0.527,2.02E-39,IFE granular,GATM
CASP142,9.70E-42,0.745721791,0.961,0.254,1.94E-38,IFE granular,CASP14
CST62,6.33E-41,3.948627554,0.992,0.504,1.27E-37,IFE granular,CST6
HEBP23,1.93E-39,0.752811367,0.992,0.682,3.86E-36,IFE granular,HEBP2
CLDN12,2.35E-39,0.664132484,0.992,0.611,4.70E-36,IFE granular,CLDN1
GJA13,1.59E-38,0.642012527,0.984,0.749,3.18E-35,IFE granular,GJA1
CDKN1A,2.43E-38,0.517268257,0.992,0.724,4.85E-35,IFE granular,CDKN1A
SFN4,7.09E-38,0.416125148,1,0.835,1.42E-34,IFE granular,SFN
CAPNS21,9.71E-38,0.449508709,1,0.738,1.94E-34,IFE granular,CAPNS2
CARD182,1.93E-37,1.263458192,0.938,0.477,3.85E-34,IFE granular,CARD18
AHNAK1,1.98E-37,0.613351039,0.992,0.801,3.96E-34,IFE granular,AHNAK
SMCO41,2.17E-37,0.565831039,0.93,0.334,4.35E-34,IFE granular,SMCO4
RHOV4,3.45E-37,0.419249847,1,0.548,6.90E-34,IFE granular,RHOV
DBI3,1.36E-36,0.658870435,0.992,0.794,2.72E-33,IFE granular,DBI
TPM14,3.29E-36,1.073922772,0.984,0.622,6.59E-33,IFE granular,TPM1
GJB23,1.72E-34,0.784725577,0.977,0.643,3.44E-31,IFE granular,GJB2
CYB5A2,7.24E-34,0.488777561,0.977,0.63,1.45E-30,IFE granular,CYB5A
TM4SF11,1.59E-33,0.686525395,0.984,0.63,3.18E-30,IFE granular,TM4SF1
GJB62,3.33E-33,0.363885603,0.984,0.677,6.67E-30,IFE granular,GJB6
LGALS74,3.61E-33,0.479023589,0.984,0.728,7.22E-30,IFE granular,LGALS7
BBOX11,4.14E-33,0.684842541,0.938,0.348,8.29E-30,IFE granular,BBOX1
GSN3,4.50E-33,0.497838801,0.992,0.841,8.99E-30,IFE granular,GSN
FAM83A1,8.17E-33,0.597872471,0.891,0.333,1.63E-29,IFE granular,FAM83A
PYCARD2,2.26E-32,0.566686195,0.977,0.707,4.52E-29,IFE granular,PYCARD
APOE2,4.11E-32,0.485678945,1,0.89,8.23E-29,IFE granular,APOE
NAGK3,5.11E-32,0.537842397,0.969,0.529,1.02E-28,IFE granular,NAGK
LAD13,6.60E-32,0.498895015,0.938,0.547,1.32E-28,IFE granular,LAD1
CSTB2,9.23E-32,1.396258073,1,0.868,1.85E-28,IFE granular,CSTB
IL20RB3,9.99E-32,0.65312516,0.938,0.499,2.00E-28,IFE granular,IL20RB
PALLD3,1.27E-31,0.613508353,0.969,0.647,2.55E-28,IFE granular,PALLD
EMP23,3.47E-31,0.555794218,1,0.825,6.94E-28,IFE granular,EMP2
KCNK73,8.01E-31,0.633749274,0.938,0.482,1.60E-27,IFE granular,KCNK7
GGT62,1.08E-30,0.595429537,0.891,0.361,2.16E-27,IFE granular,GGT6
RBP14,1.64E-30,0.626534011,0.969,0.671,3.28E-27,IFE granular,RBP1
SOX91,5.76E-30,0.576066484,0.953,0.496,1.15E-26,IFE granular,SOX9
DYNLT31,7.13E-30,0.522334462,0.938,0.392,1.43E-26,IFE granular,DYNLT3
CRYAB4,8.93E-30,0.550615824,0.961,0.625,1.79E-26,IFE granular,CRYAB
TMSB102,1.12E-29,0.517399919,1,0.961,2.24E-26,IFE granular,TMSB10
RAB254,1.23E-29,0.65911891,0.961,0.635,2.47E-26,IFE granular,RAB25
GJB52,2.00E-29,0.523804659,0.915,0.441,4.00E-26,IFE granular,GJB5
CLDN41,3.89E-29,1.156169759,0.899,0.318,7.78E-26,IFE granular,CLDN4
HOPX2,7.45E-29,0.530499571,0.969,0.583,1.49E-25,IFE granular,HOPX
CSTA3,1.60E-28,0.84653964,0.961,0.599,3.20E-25,IFE granular,CSTA
TUBB61,3.43E-28,0.444401821,0.938,0.589,6.86E-25,IFE granular,TUBB6
KLK12,2.24E-27,0.64731407,0.884,0.384,4.47E-24,IFE granular,KLK1
CKB2,2.66E-27,0.644407731,0.891,0.489,5.32E-24,IFE granular,CKB
CMTM6,3.22E-27,0.61232156,0.977,0.578,6.44E-24,IFE granular,CMTM6
SH3BGRL33,4.46E-27,0.581983919,0.992,0.873,8.91E-24,IFE granular,SH3BGRL3
COX8A2,1.51E-26,0.494678355,1,0.881,3.02E-23,IFE granular,COX8A
CYB5R21,3.82E-26,0.498466084,0.868,0.362,7.63E-23,IFE granular,CYB5R2
LCE1C,5.00E-26,0.858224121,0.86,0.284,9.99E-23,IFE granular,LCE1C
FAM84A1,9.89E-26,0.366288028,0.93,0.468,1.98E-22,IFE granular,FAM84A
AK1,1.12E-25,0.384829162,0.915,0.465,2.23E-22,IFE granular,AK1
ALDH3B22,1.82E-25,0.473092518,0.853,0.429,3.64E-22,IFE granular,ALDH3B2
DSG13,2.29E-25,0.61490078,0.915,0.422,4.58E-22,IFE granular,DSG1
YBX33,4.42E-25,0.378335916,0.984,0.786,8.85E-22,IFE granular,YBX3
CDKN2B2,5.93E-25,0.686839369,0.915,0.319,1.19E-21,IFE granular,CDKN2B
SPTSSB1,3.42E-24,0.566813664,0.884,0.377,6.83E-21,IFE granular,SPTSSB
CWH43,6.22E-24,0.478227906,0.884,0.301,1.24E-20,IFE granular,CWH43
RNH12,2.71E-23,0.279282213,0.984,0.817,5.42E-20,IFE granular,RNH1
TMEM45A4,3.49E-23,1.520528872,0.891,0.632,6.98E-20,IFE granular,TMEM45A
C9orf163,3.89E-23,0.62855997,0.984,0.795,7.78E-20,IFE granular,C9orf16
C5orf461,7.43E-23,0.792391729,0.829,0.315,1.49E-19,IFE granular,C5orf46
SUSD41,2.84E-22,0.40533657,0.814,0.368,5.67E-19,IFE granular,SUSD4
PMVK,3.58E-22,0.252132539,0.992,0.711,7.16E-19,IFE granular,PMVK
TRAPPC81,4.06E-22,0.494638905,0.845,0.332,8.13E-19,IFE granular,TRAPPC8
CHMP4B1,5.63E-22,0.495496366,0.961,0.647,1.13E-18,IFE granular,CHMP4B
KRT6C2,6.72E-22,1.223624563,0.845,0.377,1.34E-18,IFE granular,KRT6C
CIDEA2,6.87E-22,0.774098647,0.767,0.341,1.37E-18,IFE granular,CIDEA
CLCA23,1.04E-21,0.490626249,0.938,0.446,2.08E-18,IFE granular,CLCA2
RASD11,1.18E-21,0.605066862,0.922,0.581,2.36E-18,IFE granular,RASD1
ANKRD222,1.49E-21,0.371121141,0.853,0.389,2.97E-18,IFE granular,ANKRD22
DSC22,2.09E-21,0.653574965,0.915,0.432,4.18E-18,IFE granular,DSC2
PPP1R14B3,2.12E-21,0.332470652,0.915,0.525,4.23E-18,IFE granular,PPP1R14B
TSPAN51,2.24E-21,0.361264792,0.853,0.349,4.48E-18,IFE granular,TSPAN5
GSTA43,2.31E-21,0.430023697,0.915,0.545,4.62E-18,IFE granular,GSTA4
C6orf1321,2.74E-21,0.286517889,0.915,0.52,5.47E-18,IFE granular,C6orf132
MYO101,6.73E-21,0.319643252,0.922,0.506,1.35E-17,IFE granular,MYO10
ACP53,9.16E-21,0.314400248,0.915,0.525,1.83E-17,IFE granular,ACP5
GMDS1,1.24E-20,0.404400876,0.868,0.436,2.48E-17,IFE granular,GMDS
PHLDA23,2.07E-20,0.659773204,0.891,0.528,4.15E-17,IFE granular,PHLDA2
IER34,2.20E-20,0.329021601,0.984,0.84,4.41E-17,IFE granular,IER3
GLTP2,4.99E-20,0.405177261,0.946,0.596,9.98E-17,IFE granular,GLTP
C4orf31,6.51E-20,0.451296051,0.992,0.826,1.30E-16,IFE granular,C4orf3
ANK3,6.90E-20,0.38540006,0.837,0.324,1.38E-16,IFE granular,ANK3
ABLIM1,1.43E-19,0.431573372,0.884,0.507,2.87E-16,IFE granular,ABLIM1
CTSC2,3.73E-19,0.398537675,0.93,0.53,7.45E-16,IFE granular,CTSC
CTSD2,4.27E-19,0.508666964,1,0.804,8.53E-16,IFE granular,CTSD
ZNF7502,8.20E-19,0.374660258,0.822,0.39,1.64E-15,IFE granular,ZNF750
PDCD43,9.07E-19,0.39117226,0.953,0.596,1.81E-15,IFE granular,PDCD4
HOMER1,1.09E-18,0.383173475,0.845,0.358,2.17E-15,IFE granular,HOMER1
EFNB21,1.68E-18,0.322742631,0.814,0.42,3.36E-15,IFE granular,EFNB2
HBEGF3,1.70E-18,0.513524233,0.891,0.52,3.41E-15,IFE granular,HBEGF
SDCBP22,1.74E-18,0.461017816,0.806,0.31,3.49E-15,IFE granular,SDCBP2
RAB11A1,2.46E-18,0.418170853,0.977,0.723,4.91E-15,IFE granular,RAB11A
EHF4,4.60E-18,0.409485586,0.891,0.494,9.19E-15,IFE granular,EHF
SLC39A8,5.13E-18,0.254188652,0.837,0.303,1.03E-14,IFE granular,SLC39A8
TMEM402,6.34E-18,0.372360283,0.76,0.345,1.27E-14,IFE granular,TMEM40
SREBF1,1.24E-17,0.369770403,0.775,0.38,2.47E-14,IFE granular,SREBF1
PLIN2,1.24E-17,0.559532778,0.868,0.507,2.48E-14,IFE granular,PLIN2
GRHL1,1.27E-17,0.376717688,0.775,0.379,2.53E-14,IFE granular,GRHL1
PDZRN31,2.31E-17,0.682555241,0.822,0.247,4.63E-14,IFE granular,PDZRN3
KLK71,4.67E-17,1.376202742,0.698,0.24,9.34E-14,IFE granular,KLK7
ENDOU,4.89E-17,0.66558648,0.729,0.151,9.77E-14,IFE granular,ENDOU
TRIM162,5.56E-17,0.385838587,0.767,0.379,1.11E-13,IFE granular,TRIM16
PARM11,6.04E-17,0.409520465,0.783,0.315,1.21E-13,IFE granular,PARM1
PLA2G161,8.10E-17,0.44748364,0.698,0.255,1.62E-13,IFE granular,PLA2G16
PPFIBP22,1.08E-16,0.312021263,0.822,0.354,2.16E-13,IFE granular,PPFIBP2
UCHL31,1.15E-16,0.265843073,0.907,0.519,2.29E-13,IFE granular,UCHL3
ANXA31,1.34E-16,0.390516873,0.822,0.381,2.68E-13,IFE granular,ANXA3
CA23,1.72E-16,0.709567358,0.86,0.427,3.43E-13,IFE granular,CA2
ELOVL6,1.85E-16,0.282046438,0.767,0.33,3.69E-13,IFE granular,ELOVL6
NELL21,3.31E-16,0.3106928,0.775,0.283,6.62E-13,IFE granular,NELL2
VSNL12,4.53E-16,0.251199937,0.961,0.612,9.07E-13,IFE granular,VSNL1
UBR41,5.29E-16,0.652965867,0.798,0.351,1.06E-12,IFE granular,UBR4
IVL1,1.44E-15,0.57598266,0.775,0.292,2.89E-12,IFE granular,IVL
SLC40A12,1.98E-15,0.358130193,0.86,0.42,3.95E-12,IFE granular,SLC40A1
SULT2B11,2.21E-15,0.408490834,0.752,0.285,4.42E-12,IFE granular,SULT2B1
CLIC32,3.17E-15,0.663605672,0.775,0.331,6.35E-12,IFE granular,CLIC3
ABHD5,3.19E-15,0.351935221,0.891,0.524,6.38E-12,IFE granular,ABHD5
SPRR1B2,3.37E-15,2.449576808,0.729,0.341,6.75E-12,IFE granular,SPRR1B
IP6K2,5.79E-15,0.294199283,0.946,0.671,1.16E-11,IFE granular,IP6K2
PDLIM21,6.06E-15,0.280551523,0.891,0.542,1.21E-11,IFE granular,PDLIM2
OVOL12,6.35E-15,0.328566318,0.915,0.566,1.27E-11,IFE granular,OVOL1
CA6,7.19E-15,0.86657312,0.682,0.155,1.44E-11,IFE granular,CA6
LY6G6C1,9.62E-15,0.827065919,0.798,0.309,1.92E-11,IFE granular,LY6G6C
EPHX32,1.01E-14,0.424252017,0.69,0.302,2.03E-11,IFE granular,EPHX3
HSPA21,1.92E-14,0.294962683,0.969,0.654,3.85E-11,IFE granular,HSPA2
RDH121,2.26E-14,0.253495887,0.721,0.341,4.52E-11,IFE granular,RDH12
MAPKAPK3,2.70E-14,0.296879168,0.791,0.403,5.39E-11,IFE granular,MAPKAPK3
DDIT41,3.19E-14,0.331621449,0.961,0.646,6.37E-11,IFE granular,DDIT4
APPL2,3.22E-14,0.315925203,0.806,0.35,6.43E-11,IFE granular,APPL2
ADTRP,3.54E-14,0.299259387,0.798,0.36,7.09E-11,IFE granular,ADTRP
DHCR24,4.68E-14,0.263436939,0.868,0.523,9.36E-11,IFE granular,DHCR24
SPINK52,5.43E-14,1.793435836,0.76,0.434,1.09E-10,IFE granular,SPINK5
IMPA26,8.62E-14,0.477048377,0.953,0.679,1.72E-10,IFE granular,IMPA2
IL18,2.14E-13,0.402254937,0.783,0.402,4.29E-10,IFE granular,IL18
KRT172,2.38E-13,0.547162477,0.798,0.299,4.75E-10,IFE granular,KRT17
MSMO1,4.23E-13,0.327022458,0.783,0.406,8.46E-10,IFE granular,MSMO1
ZG16B1,5.09E-13,0.314336483,0.806,0.38,1.02E-09,IFE granular,ZG16B
GAN,6.20E-13,0.287544545,0.76,0.363,1.24E-09,IFE granular,GAN
SLC39A21,7.35E-13,0.333673571,0.705,0.295,1.47E-09,IFE granular,SLC39A2
PDZK1IP14,7.80E-13,0.710288125,0.752,0.426,1.56E-09,IFE granular,PDZK1IP1
NUCB22,8.54E-13,0.304482903,0.868,0.525,1.71E-09,IFE granular,NUCB2
PDLIM41,1.48E-12,0.434685764,0.853,0.546,2.97E-09,IFE granular,PDLIM4
SPRR1A1,1.82E-12,2.209153745,0.643,0.245,3.65E-09,IFE granular,SPRR1A
FLNB1,1.85E-12,0.327068205,0.783,0.459,3.70E-09,IFE granular,FLNB
ROPN1,2.58E-12,0.367987051,0.628,0.117,5.17E-09,IFE granular,ROPN1
KLK112,3.53E-12,0.702140883,0.636,0.289,7.05E-09,IFE granular,KLK11
GGCT2,3.58E-12,0.270616531,0.938,0.654,7.16E-09,IFE granular,GGCT
FAM46B,3.77E-12,0.255771576,0.775,0.385,7.53E-09,IFE granular,FAM46B
SH3KBP1,5.10E-12,0.353457407,0.62,0.184,1.02E-08,IFE granular,SH3KBP1
FRMD4B,1.14E-11,0.313459832,0.845,0.456,2.28E-08,IFE granular,FRMD4B
PDK4,1.51E-11,0.404728421,0.729,0.313,3.01E-08,IFE granular,PDK4
TCF123,1.66E-11,0.294311316,0.814,0.45,3.33E-08,IFE granular,TCF12
SMAP1,2.00E-11,0.263640233,0.791,0.466,3.99E-08,IFE granular,SMAP1
RARRES1,2.57E-11,0.887454785,0.566,0.196,5.14E-08,IFE granular,RARRES1
NEAT14,2.98E-11,0.349171946,0.946,0.76,5.96E-08,IFE granular,NEAT1
H2AFJ2,5.66E-11,0.286786618,0.868,0.54,1.13E-07,IFE granular,H2AFJ
DEFB13,7.87E-11,0.560556046,0.876,0.481,1.57E-07,IFE granular,DEFB1
RTCB1,1.17E-10,0.295242563,0.907,0.61,2.34E-07,IFE granular,RTCB
S100A13,1.40E-10,0.671315581,0.62,0.238,2.81E-07,IFE granular,S100A1
TMPRSS11E,1.80E-10,0.266369072,0.581,0.172,3.59E-07,IFE granular,TMPRSS11E
CTSV,1.92E-10,0.976510557,0.643,0.315,3.83E-07,IFE granular,CTSV
ABRACL3,2.44E-10,0.348421052,0.946,0.754,4.89E-07,IFE granular,ABRACL
CD1092,3.00E-10,0.311058121,0.829,0.458,6.00E-07,IFE granular,CD109
COMTD12,3.85E-10,0.301585204,0.845,0.596,7.70E-07,IFE granular,COMTD1
ABCA12,4.56E-10,0.270433621,0.581,0.239,9.13E-07,IFE granular,ABCA12
GADD45A,8.47E-10,0.261629246,0.891,0.562,1.69E-06,IFE granular,GADD45A
LINC00511,1.20E-09,0.2554817,0.682,0.325,2.39E-06,IFE granular,LINC00511
CHI3L22,6.02E-09,0.43032086,0.589,0.308,1.20E-05,IFE granular,CHI3L2
KRTDAP3,1.30E-08,1.242191368,0.876,0.574,2.61E-05,IFE granular,KRTDAP
AGR2,1.85E-08,0.416291435,0.643,0.207,3.69E-05,IFE granular,AGR2
C15orf48,5.08E-07,0.745204158,0.519,0.249,0.001015479,IFE granular,C15orf48
PYDC11,2.73E-06,0.261945762,0.457,0.19,0.005466073,IFE granular,PYDC1
IGFL21,3.77E-06,1.27617708,0.442,0.231,0.007539397,IFE granular,IGFL2
SPRR4,7.97E-06,1.914013728,0.488,0.19,0.015943515,IFE granular,SPRR4
SPRR2D,9.24E-06,1.085104012,0.605,0.215,0.018470448,IFE granular,SPRR2D
KLK51,9.96E-06,0.286023123,0.543,0.314,0.019911181,IFE granular,KLK5
UNC5B-AS11,1.23E-05,0.383059334,0.519,0.196,0.024659918,IFE granular,UNC5B-AS1
KRT144,0.000135939,0.510252761,1,0.955,0.27187769,IFE granular,KRT14
S100A22,0.008219935,0.500994159,0.984,0.912,1,IFE granular,S100A2
B2M3,5.05E-81,2.138251714,1,0.963,1.01E-77,immune,B2M
MALAT13,2.46E-68,1.448316872,1,0.988,4.93E-65,immune,MALAT1
HLA-B2,6.04E-52,2.059803529,0.967,0.887,1.21E-48,immune,HLA-B
VIM1,9.46E-50,1.487964641,0.927,0.544,1.89E-46,immune,VIM
S100A4,3.04E-49,2.74393252,0.894,0.537,6.08E-46,immune,S100A4
SRGN,7.06E-47,2.981087983,0.886,0.241,1.41E-43,immune,SRGN
CD52,2.22E-43,2.585171163,0.846,0.219,4.45E-40,immune,CD52
CD69,4.00E-39,3.466994866,0.862,0.184,8.00E-36,immune,CD69
TMSB4X3,7.61E-35,0.986266562,1,0.978,1.52E-31,immune,TMSB4X
ARHGDIB1,1.38E-32,2.187975495,0.764,0.337,2.75E-29,immune,ARHGDIB
KLF62,1.95E-30,1.973128909,0.919,0.824,3.90E-27,immune,KLF6
RGS1,7.91E-28,2.303386027,0.707,0.232,1.58E-24,immune,RGS1
TSC22D31,6.27E-27,2.283265277,0.74,0.379,1.25E-23,immune,TSC22D3
NR4A21,4.78E-26,2.002552936,0.772,0.455,9.55E-23,immune,NR4A2
TNFAIP31,7.62E-24,1.860720115,0.772,0.52,1.52E-20,immune,TNFAIP3
BIRC31,6.82E-23,1.855917569,0.699,0.31,1.36E-19,immune,BIRC3
CYBA2,6.94E-23,1.525382865,0.829,0.709,1.39E-19,immune,CYBA
RGCC1,9.93E-23,2.123617276,0.732,0.368,1.99E-19,immune,RGCC
ZNF331,2.27E-21,1.879693125,0.724,0.434,4.55E-18,immune,ZNF331
CREM,6.88E-20,1.710487198,0.667,0.419,1.38E-16,immune,CREM
GMFG1,9.97E-20,1.449782857,0.61,0.184,1.99E-16,immune,GMFG
HLA-E1,5.02E-19,1.117865579,0.878,0.872,1.00E-15,immune,HLA-E
EMP33,2.84E-18,1.124406648,0.805,0.586,5.68E-15,immune,EMP3
DDIT42,1.63E-17,1.700581145,0.756,0.652,3.25E-14,immune,DDIT4
RORA2,2.49E-17,1.533190635,0.675,0.44,4.98E-14,immune,RORA
CD74,2.53E-15,0.424893734,0.691,0.412,5.06E-12,immune,CD74
ANXA13,3.31E-15,1.311268302,0.854,0.824,6.62E-12,immune,ANXA1
IFITM21,4.01E-15,1.143716321,0.569,0.331,8.02E-12,immune,IFITM2
ID23,5.22E-15,1.324021041,0.764,0.708,1.04E-11,immune,ID2
STK17B,8.80E-15,1.363686882,0.585,0.252,1.76E-11,immune,STK17B
RGS2,8.53E-14,1.27012155,0.642,0.46,1.71E-10,immune,RGS2
PHLDA12,3.85E-13,1.291653652,0.675,0.538,7.70E-10,immune,PHLDA1
IDS,7.66E-13,1.228742835,0.593,0.361,1.53E-09,immune,IDS
SAT12,9.96E-13,0.988626508,0.772,0.585,1.99E-09,immune,SAT1
FTH13,5.01E-12,0.764737818,0.992,0.977,1.00E-08,immune,FTH1
MCL1,5.82E-11,1.221780284,0.74,0.777,1.16E-07,immune,MCL1
CKLF,1.68E-10,0.998481123,0.48,0.37,3.37E-07,immune,CKLF
DUSP21,6.21E-10,1.409142156,0.642,0.543,1.24E-06,immune,DUSP2
CSRNP1,1.02E-09,1.171922065,0.65,0.653,2.05E-06,immune,CSRNP1
LEPROTL1,1.42E-09,1.016679447,0.472,0.456,2.84E-06,immune,LEPROTL1
TMSB103,4.46E-09,0.60165987,0.927,0.962,8.92E-06,immune,TMSB10
BIN21,7.68E-09,0.717731551,0.472,0.17,1.54E-05,immune,BIN2
EMB,1.06E-08,0.535514186,0.463,0.218,2.12E-05,immune,EMB
FAM129A,1.44E-08,0.829066879,0.504,0.252,2.88E-05,immune,FAM129A
STK17A2,1.45E-08,0.896485113,0.577,0.537,2.91E-05,immune,STK17A
CD83,2.84E-08,0.548115829,0.496,0.341,5.68E-05,immune,CD83
CLEC2B2,2.86E-08,0.826830163,0.504,0.318,5.72E-05,immune,CLEC2B
HLA-F,3.09E-08,0.803328387,0.488,0.35,6.18E-05,immune,HLA-F
REL,4.30E-07,0.904723497,0.626,0.634,0.000859966,immune,REL
S100A62,5.19E-07,0.29867431,0.943,0.946,0.001038494,immune,S100A6
ISG20,6.01E-07,0.718680739,0.35,0.277,0.001202382,immune,ISG20
ZC3HAV1,7.69E-07,0.851654129,0.472,0.34,0.001538876,immune,ZC3HAV1
TNF,1.27E-06,0.900941116,0.293,0.305,0.002539413,immune,TNF
PDE4B,1.60E-06,0.681063439,0.439,0.256,0.003197065,immune,PDE4B
SF1,2.20E-06,0.771993313,0.634,0.671,0.004400525,immune,SF1
CYLD,2.23E-06,0.548206807,0.472,0.436,0.004454141,immune,CYLD
RNASET21,3.20E-06,0.719348191,0.463,0.495,0.006396576,immune,RNASET2
DNAJB92,3.70E-06,0.574216831,0.545,0.516,0.007405266,immune,DNAJB9
CDC42SE2,5.97E-06,0.667237787,0.488,0.399,0.011936073,immune,CDC42SE2
SH3KBP11,1.03E-05,0.614874885,0.309,0.192,0.020678558,immune,SH3KBP1
HSPA52,1.35E-05,0.829338638,0.78,0.855,0.026938001,immune,HSPA5
IQGAP2,1.51E-05,0.513113898,0.415,0.182,0.030247878,immune,IQGAP2
SH3BGRL34,2.21E-05,0.68299603,0.772,0.878,0.044170069,immune,SH3BGRL3
DUSP10,2.23E-05,0.655354003,0.496,0.4,0.044679255,immune,DUSP10
INSIG1,3.27E-05,0.442143831,0.447,0.39,0.065491495,immune,INSIG1
CCDC167,3.68E-05,0.503901812,0.48,0.401,0.073576366,immune,CCDC167
RGS101,5.27E-05,0.56583878,0.333,0.426,0.105339492,immune,RGS10
PNRC12,6.61E-05,0.65050817,0.813,0.909,0.132274265,immune,PNRC1
CTSH1,8.50E-05,0.626539023,0.268,0.351,0.169928424,immune,CTSH
CLU,9.46E-05,0.556499858,0.447,0.309,0.189293021,immune,CLU
HERPUD11,0.000103846,0.871246311,0.675,0.778,0.20769131,immune,HERPUD1
SLC38A1,0.000129166,0.590170445,0.472,0.396,0.258332839,immune,SLC38A1
THAP2,0.000159082,0.379296549,0.439,0.379,0.318163403,immune,THAP2
ODF2L1,0.000187125,0.510392208,0.463,0.451,0.374249219,immune,ODF2L
