Cluster,Cell_Type,Overlap_Count,Jaccard_Index,Fisher_Pval,Overlap_Genes
14,isthmus,2,0.034482758620689655,0.001806709727152707,"CYR61, CCNL1"
14,langerhans,1,0.01694915254237288,0.06149116554034821,SAT1
14,lower bulge,0,0.0,1.0,None
14,matrix/cortex/medulla,1,0.01694915254237288,0.06149116554034821,SAT1
14,melanocytes,1,0.01694915254237288,0.06149116554034821,SAT1
14,mesenchymal,1,0.01694915254237288,0.06149116554034821,CYR61
14,sebaceous/apocrine,2,0.034482758620689655,0.001806709727152707,"SAT1, EPCAM"
7,IFE basal 1,0,0.0,1.0,None
7,IFE basal 2,1,0.01694915254237288,0.06149116554034821,THBS2
7,IFE granular,0,0.0,1.0,None
7,IFE mitotic,0,0.0,1.0,None
7,IFE spinous 1,0,0.0,1.0,None
7,IFE spinous 2,0,0.0,1.0,None
7,IFE spinous 3,0,0.0,1.0,None
7,IRS H/H,0,0.0,1.0,None
7,IRS/cuticle,0,0.0,1.0,None
7,ORS B,0,0.0,1.0,None
7,ORS CL,0,0.0,1.0,None
7,ORS SB,0,0.0,1.0,None
7,bulge,4,0.07142857142857142,4.2596673367449806e-07,"IGFBP7, FGL2, SFRP1, RARRES2"
7,endothelial,1,0.01694915254237288,0.06149116554034821,IGFBP7
7,immune,0,0.0,1.0,None
7,infundibulum,0,0.0,1.0,None
7,isthmus,0,0.0,1.0,None
7,langerhans,0,0.0,1.0,None
7,lower bulge,10,0.2,9.595079798727975e-21,"THBS2, MGP, COMP, MYL9, RARRES2, SFRP1, THBS1, IGFBP7, SLC12A2, FGL2"
7,matrix/cortex/medulla,0,0.0,1.0,None
7,melanocytes,0,0.0,1.0,None
7,mesenchymal,2,0.034482758620689655,0.001806709727152707,"MYL9, MGP"
7,sebaceous/apocrine,1,0.01694915254237288,0.06149116554034821,SLC12A2
20,IFE basal 1,0,0.0,1.0,None
20,IFE basal 2,0,0.0,1.0,None
20,IFE granular,0,0.0,1.0,None
20,IFE mitotic,0,0.0,1.0,None
20,IFE spinous 1,0,0.0,1.0,None
20,IFE spinous 2,0,0.0,1.0,None
20,IFE spinous 3,0,0.0,1.0,None
20,IRS H/H,0,0.0,1.0,None
20,IRS/cuticle,0,0.0,1.0,None
20,ORS B,0,0.0,1.0,None
20,ORS CL,0,0.0,1.0,None
20,ORS SB,0,0.0,1.0,None
20,bulge,0,0.0,1.0,None
20,endothelial,0,0.0,1.0,None
20,immune,0,0.0,1.0,None
20,infundibulum,0,0.0,1.0,None
20,isthmus,0,0.0,1.0,None
20,langerhans,0,0.0,1.0,None
20,lower bulge,0,0.0,1.0,None
20,matrix/cortex/medulla,0,0.0,1.0,None
20,melanocytes,0,0.0,1.0,None
20,mesenchymal,0,0.0,1.0,None
20,sebaceous/apocrine,0,0.0,1.0,None
4,IFE basal 1,2,0.034482758620689655,0.001806709727152707,"DST, KRT15"
4,IFE basal 2,0,0.0,1.0,None
4,IFE granular,0,0.0,1.0,None
4,IFE mitotic,0,0.0,1.0,None
4,IFE spinous 1,0,0.0,1.0,None
4,IFE spinous 2,0,0.0,1.0,None
4,IFE spinous 3,0,0.0,1.0,None
4,IRS H/H,0,0.0,1.0,None
4,IRS/cuticle,0,0.0,1.0,None
4,ORS B,0,0.0,1.0,None
4,ORS CL,0,0.0,1.0,None
4,ORS SB,0,0.0,1.0,None
4,bulge,10,0.2,9.595079798727975e-21,"ITM2A, CAV1, FRZB, SFRP1, DST, CXCL14, FGL2, LMCD1, DIO2, KRT15"
4,endothelial,1,0.01694915254237288,0.06149116554034821,CAV1
4,immune,0,0.0,1.0,None
4,infundibulum,1,0.01694915254237288,0.06149116554034821,KRT15
4,isthmus,5,0.09090909090909091,4.061619164377809e-09,"CAV1, DST, CXCL14, LMCD1, KRT15"
4,langerhans,0,0.0,1.0,None
4,lower bulge,7,0.1320754716981132,1.7349194782378388e-13,"ITM2A, CAV1, SFRP1, DST, CXCL14, FGL2, KRT15"
4,matrix/cortex/medulla,0,0.0,1.0,None
4,melanocytes,1,0.01694915254237288,0.06149116554034821,FRZB
4,mesenchymal,0,0.0,1.0,None
4,sebaceous/apocrine,0,0.0,1.0,None
16,IFE basal 1,0,0.0,1.0,None
16,IFE basal 2,0,0.0,1.0,None
16,IFE granular,0,0.0,1.0,None
16,IFE mitotic,0,0.0,1.0,None
16,IFE spinous 1,0,0.0,1.0,None
16,IFE spinous 2,0,0.0,1.0,None
16,IFE spinous 3,0,0.0,1.0,None
16,IRS H/H,0,0.0,1.0,None
16,IRS/cuticle,0,0.0,1.0,None
16,ORS B,0,0.0,1.0,None
16,ORS CL,0,0.0,1.0,None
16,ORS SB,0,0.0,1.0,None
16,bulge,0,0.0,1.0,None
16,endothelial,1,0.01694915254237288,0.06149116554034821,SPARCL1
16,immune,0,0.0,1.0,None
16,infundibulum,0,0.0,1.0,None
16,isthmus,0,0.0,1.0,None
16,langerhans,0,0.0,1.0,None
16,lower bulge,0,0.0,1.0,None
16,matrix/cortex/medulla,0,0.0,1.0,None
16,melanocytes,0,0.0,1.0,None
16,mesenchymal,1,0.01694915254237288,0.06149116554034821,SPARCL1
16,sebaceous/apocrine,0,0.0,1.0,None
23,IFE basal 1,0,0.0,1.0,None
23,IFE basal 2,0,0.0,1.0,None
23,IFE granular,0,0.0,1.0,None
23,IFE mitotic,0,0.0,1.0,None
23,IFE spinous 1,0,0.0,1.0,None
23,IFE spinous 2,0,0.0,1.0,None
23,IFE spinous 3,0,0.0,1.0,None
23,IRS H/H,0,0.0,1.0,None
23,IRS/cuticle,0,0.0,1.0,None
23,ORS B,0,0.0,1.0,None
23,ORS CL,0,0.0,1.0,None
23,ORS SB,0,0.0,1.0,None
23,bulge,0,0.0,1.0,None
23,endothelial,1,0.01694915254237288,0.06149116554034821,SPARCL1
23,immune,0,0.0,1.0,None
23,infundibulum,0,0.0,1.0,None
23,isthmus,0,0.0,1.0,None
23,langerhans,0,0.0,1.0,None
23,lower bulge,0,0.0,1.0,None
23,matrix/cortex/medulla,0,0.0,1.0,None
23,melanocytes,0,0.0,1.0,None
23,mesenchymal,1,0.01694915254237288,0.06149116554034821,SPARCL1
23,sebaceous/apocrine,0,0.0,1.0,None
15,IFE basal 1,0,0.0,1.0,None
15,IFE basal 2,0,0.0,1.0,None
15,IFE granular,0,0.0,1.0,None
15,IFE mitotic,0,0.0,1.0,None
15,IFE spinous 1,0,0.0,1.0,None
15,IFE spinous 2,0,0.0,1.0,None
15,IFE spinous 3,0,0.0,1.0,None
15,IRS H/H,0,0.0,1.0,None
15,IRS/cuticle,0,0.0,1.0,None
15,ORS B,0,0.0,1.0,None
15,ORS CL,0,0.0,1.0,None
15,ORS SB,0,0.0,1.0,None
15,bulge,0,0.0,1.0,None
15,endothelial,0,0.0,1.0,None
15,immune,4,0.07142857142857142,4.2596673367449806e-07,"CD52, CD69, SRGN, RGS1"
15,infundibulum,0,0.0,1.0,None
15,isthmus,0,0.0,1.0,None
15,langerhans,2,0.034482758620689655,0.001806709727152707,"SRGN, RGS1"
15,lower bulge,0,0.0,1.0,None
15,matrix/cortex/medulla,0,0.0,1.0,None
15,melanocytes,0,0.0,1.0,None
15,mesenchymal,0,0.0,1.0,None
15,sebaceous/apocrine,0,0.0,1.0,None
19,IFE basal 1,0,0.0,1.0,None
19,IFE basal 2,0,0.0,1.0,None
19,IFE granular,0,0.0,1.0,None
19,IFE mitotic,0,0.0,1.0,None
19,IFE spinous 1,1,0.023255813953488372,0.029198032868392614,KRT1
19,IFE spinous 2,0,0.0,1.0,None
19,IFE spinous 3,1,0.023255813953488372,0.029198032868392614,KRT1
19,IRS H/H,9,0.2571428571428571,4.446010322003281e-22,"KRT27, FABP9, KRT28, KRT1, TCHH, KRT71, KRT74, KRT25, PRR9"
19,IRS/cuticle,5,0.1282051282051282,5.87455148063986e-11,"KRT27, PSORS1C2, KRT28, KRT71, KRT25"
19,ORS B,0,0.0,1.0,None
19,ORS CL,0,0.0,1.0,None
19,ORS SB,0,0.0,1.0,None
19,bulge,0,0.0,1.0,None
19,endothelial,0,0.0,1.0,None
19,immune,0,0.0,1.0,None
19,infundibulum,0,0.0,1.0,None
19,isthmus,0,0.0,1.0,None
19,langerhans,0,0.0,1.0,None
19,lower bulge,0,0.0,1.0,None
19,matrix/cortex/medulla,2,0.047619047619047616,0.00038683579695809216,"KRT85, KRT35"
19,melanocytes,0,0.0,1.0,None
19,mesenchymal,0,0.0,1.0,None
19,sebaceous/apocrine,0,0.0,1.0,None
8,IFE basal 1,0,0.0,1.0,None
8,IFE basal 2,0,0.0,1.0,None
8,IFE granular,8,0.15384615384615385,8.103269143073183e-16,"PKP1, KRT6A, KRT16, CALML3, SDC1, LGALS7B, KRT6B, HSPB1"
8,IFE mitotic,0,0.0,1.0,None
8,IFE spinous 1,1,0.01694915254237288,0.06149116554034821,LGALS7B
8,IFE spinous 2,4,0.07142857142857142,4.2596673367449806e-07,"KRT6A, PKP1, CALML3, LGALS7B"
8,IFE spinous 3,1,0.01694915254237288,0.06149116554034821,LGALS7B
8,IRS H/H,0,0.0,1.0,None
8,IRS/cuticle,0,0.0,1.0,None
8,ORS B,9,0.18,2.1580853184674886e-18,"KRT6A, KRT16, CALML3, SDC1, KRT6C, LGALS7B, TMSB10, KRT6B, HSPB1"
8,ORS CL,1,0.01694915254237288,0.06149116554034821,HSPB1
8,ORS SB,9,0.17647058823529413,3.078869737177559e-18,"PKP1, APOC1, CBLN2, KRT16, CALML3, SDC1, LGALS7B, KRT6B, HSPB1"
8,bulge,0,0.0,1.0,None
8,endothelial,1,0.01694915254237288,0.06149116554034821,TMSB10
8,immune,0,0.0,1.0,None
8,infundibulum,0,0.0,1.0,None
8,isthmus,0,0.0,1.0,None
8,langerhans,0,0.0,1.0,None
8,lower bulge,1,0.01694915254237288,0.06149116554034821,SDC1
8,matrix/cortex/medulla,0,0.0,1.0,None
8,melanocytes,0,0.0,1.0,None
8,mesenchymal,0,0.0,1.0,None
8,sebaceous/apocrine,0,0.0,1.0,None
17,IFE basal 1,0,0.0,1.0,None
17,IFE basal 2,1,0.01694915254237288,0.06149116554034821,PDZK1IP1
17,IFE granular,2,0.034482758620689655,0.001806709727152707,"DMKN, LGALS7B"
17,IFE mitotic,0,0.0,1.0,None
17,IFE spinous 1,8,0.15384615384615385,8.103269143073183e-16,"KRTDAP, LY6D, DEFB1, MAL2, KRT1, LGALS7B, DMKN, KRT10"
17,IFE spinous 2,4,0.07142857142857142,4.2596673367449806e-07,"DMKN, DEFB1, LGALS7B, PDZK1IP1"
17,IFE spinous 3,7,0.1320754716981132,1.7349194782378388e-13,"KRTDAP, LY6D, DEFB1, KRT1, LGALS7B, DMKN, KRT10"
17,IRS H/H,4,0.07142857142857142,4.2596673367449806e-07,"DMKN, KRT1, KRTDAP, LY6D"
17,IRS/cuticle,0,0.0,1.0,None
17,ORS B,1,0.017241379310344827,0.059501675359893896,LGALS7B
17,ORS CL,0,0.0,1.0,None
17,ORS SB,1,0.01694915254237288,0.06149116554034821,LGALS7B
17,bulge,0,0.0,1.0,None
17,endothelial,0,0.0,1.0,None
17,immune,0,0.0,1.0,None
17,infundibulum,0,0.0,1.0,None
17,isthmus,0,0.0,1.0,None
17,langerhans,0,0.0,1.0,None
17,lower bulge,0,0.0,1.0,None
17,matrix/cortex/medulla,0,0.0,1.0,None
17,melanocytes,0,0.0,1.0,None
17,mesenchymal,0,0.0,1.0,None
17,sebaceous/apocrine,0,0.0,1.0,None
10,IFE basal 1,0,0.0,1.0,None
10,IFE basal 2,1,0.01694915254237288,0.06149116554034821,SAA1
10,IFE granular,0,0.0,1.0,None
10,IFE mitotic,0,0.0,1.0,None
10,IFE spinous 1,0,0.0,1.0,None
10,IFE spinous 2,0,0.0,1.0,None
10,IFE spinous 3,0,0.0,1.0,None
10,IRS H/H,0,0.0,1.0,None
10,IRS/cuticle,0,0.0,1.0,None
10,ORS B,0,0.0,1.0,None
10,ORS CL,0,0.0,1.0,None
10,ORS SB,0,0.0,1.0,None
10,bulge,0,0.0,1.0,None
10,endothelial,0,0.0,1.0,None
10,immune,0,0.0,1.0,None
10,infundibulum,0,0.0,1.0,None
10,isthmus,0,0.0,1.0,None
10,langerhans,0,0.0,1.0,None
10,lower bulge,0,0.0,1.0,None
10,matrix/cortex/medulla,0,0.0,1.0,None
10,melanocytes,0,0.0,1.0,None
10,mesenchymal,0,0.0,1.0,None
10,sebaceous/apocrine,0,0.0,1.0,None
24,IFE basal 1,0,0.0,1.0,None
24,IFE basal 2,1,0.01694915254237288,0.06149116554034821,ASS1
24,IFE granular,0,0.0,1.0,None
24,IFE mitotic,0,0.0,1.0,None
24,IFE spinous 1,0,0.0,1.0,None
24,IFE spinous 2,0,0.0,1.0,None
24,IFE spinous 3,0,0.0,1.0,None
24,IRS H/H,0,0.0,1.0,None
24,IRS/cuticle,1,0.01694915254237288,0.06149116554034821,PSORS1C2
24,ORS B,0,0.0,1.0,None
24,ORS CL,0,0.0,1.0,None
24,ORS SB,0,0.0,1.0,None
24,bulge,0,0.0,1.0,None
24,endothelial,0,0.0,1.0,None
24,immune,0,0.0,1.0,None
24,infundibulum,0,0.0,1.0,None
24,isthmus,0,0.0,1.0,None
24,langerhans,0,0.0,1.0,None
24,lower bulge,0,0.0,1.0,None
24,matrix/cortex/medulla,5,0.09090909090909091,4.061619164377809e-09,"KRT85, KRT35, HOXC13, MT4, ASS1"
24,melanocytes,0,0.0,1.0,None
24,mesenchymal,0,0.0,1.0,None
24,sebaceous/apocrine,0,0.0,1.0,None
9,IFE basal 1,1,0.01694915254237288,0.06149116554034821,KRT15
9,IFE basal 2,0,0.0,1.0,None
9,IFE granular,0,0.0,1.0,None
9,IFE mitotic,0,0.0,1.0,None
9,IFE spinous 1,0,0.0,1.0,None
9,IFE spinous 2,0,0.0,1.0,None
9,IFE spinous 3,0,0.0,1.0,None
9,IRS H/H,0,0.0,1.0,None
9,IRS/cuticle,0,0.0,1.0,None
9,ORS B,0,0.0,1.0,None
9,ORS CL,0,0.0,1.0,None
9,ORS SB,0,0.0,1.0,None
9,bulge,8,0.15384615384615385,8.103269143073183e-16,"FRZB, EFEMP1, RARRES2, SFRP1, DCN, CXCL14, DIO2, KRT15"
9,endothelial,0,0.0,1.0,None
9,immune,0,0.0,1.0,None
9,infundibulum,1,0.01694915254237288,0.06149116554034821,KRT15
9,isthmus,3,0.05263157894736842,3.318075750370849e-05,"CXCL14, KRT15, BCAM"
9,langerhans,0,0.0,1.0,None
9,lower bulge,5,0.09090909090909091,4.061619164377809e-09,"RARRES2, EFEMP1, SFRP1, CXCL14, KRT15"
9,matrix/cortex/medulla,0,0.0,1.0,None
9,melanocytes,1,0.01694915254237288,0.06149116554034821,FRZB
9,mesenchymal,2,0.034482758620689655,0.001806709727152707,"MAP1B, DCN"
9,sebaceous/apocrine,1,0.01694915254237288,0.06149116554034821,KRT19
22,IFE basal 1,0,0.0,1.0,None
22,IFE basal 2,0,0.0,1.0,None
22,IFE granular,0,0.0,1.0,None
22,IFE mitotic,0,0.0,1.0,None
22,IFE spinous 1,0,0.0,1.0,None
22,IFE spinous 2,0,0.0,1.0,None
22,IFE spinous 3,0,0.0,1.0,None
22,IRS H/H,0,0.0,1.0,None
22,IRS/cuticle,0,0.0,1.0,None
22,ORS B,0,0.0,1.0,None
22,ORS CL,0,0.0,1.0,None
22,ORS SB,0,0.0,1.0,None
22,bulge,0,0.0,1.0,None
22,endothelial,0,0.0,1.0,None
22,immune,0,0.0,1.0,None
22,infundibulum,0,0.0,1.0,None
22,isthmus,0,0.0,1.0,None
22,langerhans,0,0.0,1.0,None
22,lower bulge,0,0.0,1.0,None
22,matrix/cortex/medulla,0,0.0,1.0,None
22,melanocytes,5,0.09090909090909091,4.061619164377809e-09,"MLANA, PMEL, DCT, APOD, TYRP1"
22,mesenchymal,0,0.0,1.0,None
22,sebaceous/apocrine,0,0.0,1.0,None
